"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Yonder Alonso","Indians","SEA @ CLE","1B","4.10","1.00",".60",".23",".01",".17",".54",".60",".02",".01",".45",".64","6.73","10.50","7.92","2530"
"Buster Posey","Giants","LAD @ SF","C","4.31","1.12",".79",".23",".01",".09",".56",".58",".03",".02",".53",".58","6.71","10.47","7.96","9166"
"Edwin Encarnacion","Indians","SEA @ CLE","DH","4.20",".88",".51",".17",".00",".19",".57",".62",".01",".00",".54",".86","6.75","10.55","7.83","2151"
"Corey Seager","Dodgers","LAD @ SF","SS","4.60","1.14",".77",".25",".02",".10",".55",".51",".03",".02",".53",".82","6.69","10.40","7.97","13624"
"Dexter Fowler","Cardinals","STL @ PIT","RF","4.46",".93",".59",".20",".04",".10",".51",".54",".06",".04",".67",".90","6.74","10.48","7.88","4062"
"Mitch Garver","Twins","CIN @ MIN","C","4.10",".91",".52",".23",".02",".14",".57",".63",".02",".01",".52","1.00","6.73","10.53","7.82","15161"
"Miguel Cabrera","Tigers","DET @ BAL","1B","4.48","1.06",".68",".22",".00",".16",".54",".54",".01",".01",".50",".79","6.70","10.42","7.92","1744"
"Ryan Braun","Brewers","MIL @ CHC","1B","4.47","1.00",".59",".25",".02",".14",".49",".53",".08",".05",".43",".92","6.69","10.40","7.94","3410"
"Khris Davis","Athletics","OAK @ HOU","DH","4.43",".82",".40",".18",".01",".23",".52",".64",".01",".01",".47","1.66","6.73","10.51","7.80","9112"
"Lorenzo Cain","Brewers","MIL @ CHC","CF","4.66","1.13",".79",".24",".03",".08",".52",".33",".14",".07",".52",".84","6.65","10.25","8.04","9077"
"Robinson Cano","Mariners","SEA @ CLE","2B","4.50","1.06",".67",".25",".01",".13",".54",".53",".01",".01",".50",".86","6.64","10.33","7.85","3269"
"Yulieski Gurriel","Astros","OAK @ HOU","1B","4.24","1.12",".68",".30",".01",".13",".54",".65",".02",".02",".24",".52","6.58","10.30","7.86","19198"
"Gregory Polanco","Pirates","STL @ PIT","RF","4.46",".95",".55",".22",".02",".16",".57",".46",".09",".05",".44",".98","6.64","10.30","7.85","12907"
"Matt Olson","Athletics","OAK @ HOU","1B","4.33",".82",".40",".17",".01",".23",".53",".58",".02",".01",".49","1.60","6.67","10.40","7.75","14344"
"Corey Dickerson","Pirates","STL @ PIT","LF","4.15","1.07",".64",".24",".03",".16",".51",".59",".03",".02",".27",".88","6.57","10.25","7.87","10762"
"Adam Jones","Orioles","DET @ BAL","CF","4.23","1.06",".68",".19",".01",".18",".51",".64",".01",".01",".30",".81","6.57","10.27","7.83","6368"
"Tim Anderson","White Sox","","SS","4.72","1.24",".86",".23",".04",".10",".52",".45",".13",".07",".18","1.07","6.49","10.05","7.99","15172"
"Brian McCann","Astros","OAK @ HOU","C","4.03",".88",".53",".14",".01",".20",".56",".60",".01",".01",".48",".72","6.61","10.33","7.71","4810"
"Matt Davidson","White Sox","","DH","4.39",".90",".49",".18",".01",".21",".51",".61",".01",".01",".42","1.47","6.60","10.30","7.72","7226"
"Andrew McCutchen","Giants","LAD @ SF","RF","4.38",".92",".60",".18",".02",".12",".55",".47",".06",".03",".69","1.04","6.62","10.27","7.73","9847"
"DJ LeMahieu","Rockies","COL @ MIA","2B","4.74","1.27",".92",".23",".03",".09",".56",".36",".06",".04",".40",".62","6.49","10.03","7.94","9874"
"Chris Taylor","Dodgers","LAD @ SF","CF","4.82","1.14",".76",".25",".06",".07",".52",".37",".12",".06",".41","1.05","6.51","10.06","7.90","13757"
"Justin Bour","Marlins","COL @ MIA","1B","4.27",".96",".61",".16",".01",".18",".53",".56",".01",".01",".52",".87","6.57","10.23","7.71","9744"
