Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Lucas Giolito (10617641),Lucas Giolito,10617641,P,6400,CWS@KC 04/29/2018 02:15PM ET,CWS,2.19
SP,Drew Smyly (10617556),Drew Smyly,10617556,P,6300,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Zach Davies (10617614),Zach Davies,10617614,P,6300,MIL@CHC 04/29/2018 02:20PM ET,MIL,12.99
SP,Luis Castillo (10617631),Luis Castillo,10617631,P,6300,CIN@MIN 04/29/2018 02:10PM ET,CIN,6.28
RP,Wilmer Font (10617446),Wilmer Font,10617446,P,6200,OAK@HOU 04/29/2018 02:10PM ET,OAK,0.36
SP,Jharel Cotton (10617618),Jharel Cotton,10617618,P,6200,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
SP,Daniel Mengden (10617720),Daniel Mengden,10617720,P,6200,OAK@HOU 04/29/2018 02:10PM ET,OAK,11.82
SP,Michael Kopech (10617716),Michael Kopech,10617716,P,6200,CWS@KC 04/29/2018 02:15PM ET,CWS,0
SP,Jake Odorizzi (10617455),Jake Odorizzi,10617455,P,6200,CIN@MIN 04/29/2018 02:10PM ET,MIN,13.27
SP,Anthony DeSclafani (10617473),Anthony DeSclafani,10617473,P,6100,CIN@MIN 04/29/2018 02:10PM ET,CIN,0
SP,Wade Miley (10617458),Wade Miley,10617458,P,6000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Brandon Woodruff (10617601),Brandon Woodruff,10617601,P,5900,MIL@CHC 04/29/2018 02:20PM ET,MIL,4.55
SP,Rogelio Armenteros (10617743),Rogelio Armenteros,10617743,P,5900,OAK@HOU 04/29/2018 02:10PM ET,HOU,0
SP,Sal Romano (10617613),Sal Romano,10617613,P,5900,CIN@MIN 04/29/2018 02:10PM ET,CIN,8.12
RP,Aaron Wilkerson (10617728),Aaron Wilkerson,10617728,P,5800,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
RP,Brad Peacock (10617445),Brad Peacock,10617445,P,5800,OAK@HOU 04/29/2018 02:10PM ET,HOU,4.99
SP,Corbin Burnes (10617734),Corbin Burnes,10617734,P,5600,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Jason Hammel (10617366),Jason Hammel,10617366,P,5600,CWS@KC 04/29/2018 02:15PM ET,KC,11.96
RP,Adalberto Mejia (10617594),Adalberto Mejia,10617594,P,5600,CIN@MIN 04/29/2018 02:10PM ET,MIN,0
SP,Amir Garrett (10617612),Amir Garrett,10617612,P,5600,CIN@MIN 04/29/2018 02:10PM ET,CIN,4.47
SP,Jhoulys Chacin (10617443),Jhoulys Chacin,10617443,P,5500,MIL@CHC 04/29/2018 02:20PM ET,MIL,9.63
SP,Homer Bailey (10617384),Homer Bailey,10617384,P,5500,CIN@MIN 04/29/2018 02:10PM ET,CIN,10.24
RP,David Paulino (10617620),David Paulino,10617620,P,5200,OAK@HOU 04/29/2018 02:10PM ET,HOU,0
SP,Ricky Nolasco (10617362),Ricky Nolasco,10617362,P,5200,CWS@KC 04/29/2018 02:15PM ET,KC,0
SP,Miguel Gonzalez (10617387),Miguel Gonzalez,10617387,P,5200,CWS@KC 04/29/2018 02:15PM ET,CWS,-4.75
2B,Jose Altuve (10617475),Jose Altuve,10617475,2B,5100,OAK@HOU 04/29/2018 02:10PM ET,HOU,8.14
SP,Hector Santiago (10617420),Hector Santiago,10617420,P,5100,CWS@KC 04/29/2018 02:15PM ET,CWS,5.74
SP,Justin Nicolino (10617557),Justin Nicolino,10617557,P,5100,CIN@MIN 04/29/2018 02:10PM ET,CIN,0
SP,Rookie Davis (10617611),Rookie Davis,10617611,P,5100,CIN@MIN 04/29/2018 02:10PM ET,CIN,0
SP,Brandon Finnegan (10617623),Brandon Finnegan,10617623,P,5100,CIN@MIN 04/29/2018 02:10PM ET,CIN,3.18
SP,Junior Guerra (10617375),Junior Guerra,10617375,P,5000,MIL@CHC 04/29/2018 02:20PM ET,MIL,20.28
SS,Carlos Correa (10617632),Carlos Correa,10617632,SS,5000,OAK@HOU 04/29/2018 02:10PM ET,HOU,9.56
SP,Carson Fulmer (10617649),Carson Fulmer,10617649,P,5000,CWS@KC 04/29/2018 02:15PM ET,CWS,8.81
OF,George Springer (10617535),George Springer,10617535,OF,4900,OAK@HOU 04/29/2018 02:10PM ET,HOU,8.71
SP,A.J. Puk (10617699),A.J. Puk,10617699,P,4900,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
RP,Chris Volstad (10617393),Chris Volstad,10617393,P,4900,CWS@KC 04/29/2018 02:15PM ET,CWS,5.48
SP,Phil Hughes (10617382),Phil Hughes,10617382,P,4900,CIN@MIN 04/29/2018 02:10PM ET,MIN,2.38
3B,Kris Bryant (10617565),Kris Bryant,10617565,3B,4800,MIL@CHC 04/29/2018 02:20PM ET,CHC,9.35
2B,Yoan Moncada (10617731),Yoan Moncada,10617731,2B,4800,CWS@KC 04/29/2018 02:15PM ET,CWS,9.88
SP,Cody Reed (10617676),Cody Reed,10617676,P,4800,CIN@MIN 04/29/2018 02:10PM ET,CIN,3.91
1B,Eric Thames (10617464),Eric Thames,10617464,1B,4700,MIL@CHC 04/29/2018 02:20PM ET,MIL,8.23
