"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Khris Davis","Athletics","OAK @ HOU","DH","4.42",".94",".45",".20",".01",".29",".60",".71",".01",".01",".44","1.38","7.58","11.84","8.84","9112"
"Nolan Arenado","Rockies","COL @ MIA","3B","4.48","1.07",".63",".22",".02",".19",".58",".70",".03",".02",".51",".67","7.53","11.76","8.84","9777"
"Manny Machado","Orioles","DET @ BAL","SS","4.35","1.10",".65",".19",".01",".26",".60",".63",".04",".02",".36",".60","7.50","11.69","8.90","11493"
"Jose Martinez","Cardinals","STL @ PIT","1B","4.72","1.20",".80",".26",".01",".13",".65",".65",".04",".03",".52",".60","7.50","11.70","8.87","7996"
"Eddie Rosario","Twins","CIN @ MIN","LF","4.43","1.14",".68",".24",".04",".19",".56",".74",".06",".04",".29",".86","7.46","11.68","8.89","12155"
"Marcell Ozuna","Cardinals","STL @ PIT","LF","4.61","1.18",".76",".24",".01",".16",".61",".75",".01",".01",".42",".81","7.48","11.71","8.85","10324"
"Carlos Santana","Phillies","ATL @ PHI","1B","4.51",".91",".51",".20",".01",".18",".70",".55",".03",".02",".78",".62","7.53","11.71","8.67","2396"
"Miguel Cabrera","Tigers","DET @ BAL","1B","4.53","1.11",".69",".21",".00",".21",".60",".61",".01",".01",".53",".75","7.41","11.54","8.73","1744"
"Jesse Winker","Reds","CIN @ MIN","RF","4.86","1.32",".89",".28",".01",".13",".64",".52",".04",".02",".41",".71","7.33","11.38","8.83","13590"
"Chris Taylor","Dodgers","LAD @ SF","CF","4.84","1.18",".74",".27",".06",".10",".58",".44",".11",".06",".49","1.01","7.25","11.21","8.71","13757"
"Hanley Ramirez","Red Sox","TB @ BOS","1B","4.46","1.04",".65",".22",".00",".16",".63",".61",".04",".02",".56",".97","7.24","11.29","8.47","8001"
"Trey Mancini","Orioles","DET @ BAL","LF","4.57","1.17",".74",".20",".02",".21",".63",".54",".01",".01",".36","1.00","7.16","11.13","8.57","15149"
"Chris Davis","Orioles","DET @ BAL","1B","4.16",".83",".42",".13",".00",".28",".60",".60",".01",".01",".61","1.23","7.26","11.31","8.39","9272"
"Steve Pearce","Blue Jays","TEX @ TOR","LF","4.54","1.06",".57",".28",".01",".19",".63",".50",".02",".01",".48",".86","7.18","11.15","8.46","9957"
"Leonys Martin","Tigers","DET @ BAL","CF","4.75","1.07",".71",".18",".02",".16",".60",".46",".17",".09",".38","1.00","7.10","10.99","8.52","11846"
"Jeimer Candelario","Tigers","DET @ BAL","3B","4.64","1.05",".60",".26",".02",".17",".65",".52",".01",".01",".51",".94","7.13","11.08","8.38","13621"
"Starling Marte","Pirates","STL @ PIT","CF","4.35","1.22",".88",".20",".04",".11",".53",".51",".19",".09",".27",".68","7.00","10.87","8.56","9241"
"Ozzie Albies","Braves","ATL @ PHI","2B","4.62","1.08",".69",".20",".05",".15",".62",".47",".14",".08",".32","1.00","7.04","10.92","8.47","16556"
"Whit Merrifield","Royals","CWS @ KC","2B","4.52","1.14",".78",".23",".04",".09",".59",".51",".17",".08",".35",".66","7.01","10.89","8.45","11281"
"Nicholas Castellanos","Tigers","DET @ BAL","RF","4.44","1.11",".67",".23",".02",".19",".53",".66",".02",".02",".32",".86","7.02","10.96","8.36","11737"
"Todd Frazier","Mets","NYM @ SD","3B","4.42",".88",".48",".19",".01",".20",".56",".61",".04",".03",".65",".92","7.11","11.08","8.22","785"
"Jose Abreu","White Sox","CWS @ KC","1B","4.44","1.15",".69",".25",".02",".18",".53",".60",".01",".01",".36",".74","7.00","10.91","8.37","15676"
"Dexter Fowler","Cardinals","STL @ PIT","RF","4.49","1.00",".65",".20",".04",".11",".56",".59",".06",".04",".65",".78","7.06","11.00","8.27","4062"
"Trea Turner","Nationals","ARI @ WSH","SS","4.48","1.07",".75",".19",".04",".10",".52",".35",".30",".12",".40","1.03","6.99","10.76","8.50","16252"
"Max Kepler","Twins","CIN @ MIN","RF","4.32","1.01",".59",".23",".03",".16",".55",".61",".04",".03",".48",".73","7.02","10.95","8.26","12144"
"Alex Bregman","Astros","OAK @ HOU","3B","4.22","1.04",".63",".25",".03",".14",".54",".61",".07",".04",".44",".72","6.99","10.89","8.27","17678"
"Joey Gallo","Rangers","TEX @ TOR","1B","4.28",".80",".35",".17",".01",".27",".53",".64",".03",".02",".49","1.50","7.04","10.99","8.15","14128"
"Matt Chapman","Athletics","OAK @ HOU","3B","4.31",".89",".42",".20",".03",".24",".55",".61",".04",".03",".41","1.34","7.00","10.92","8.20","16505"
"Odubel Herrera","Phillies","ATL @ PHI","CF","4.40","1.15",".76",".24",".03",".11",".57",".58",".07",".04",".39",".88","6.94","10.81","8.29","11476"
"Andrew McCutchen","Giants","LAD @ SF","RF","4.37","1.02",".64",".22",".02",".14",".58",".52",".05",".03",".59",".85","6.97","10.83","8.20","9847"
"Joe Mauer","Twins","CIN @ MIN","1B","4.65","1.13",".78",".27",".01",".07",".67",".45",".02",".01",".71",".61","6.98","10.83","8.20","1857"
"Didi Gregorius","Yankees","NYY @ LAA","SS","4.62","1.11",".73",".18",".01",".18",".59",".60",".04",".03",".29",".70","6.85","10.69","8.19","6012"
"Matt Kemp","Dodgers","LAD @ SF","LF","4.41","1.10",".68",".24",".01",".17",".54",".64",".02",".01",".33",".88","6.84","10.69","8.14","5631"
"Yulieski Gurriel","Astros","OAK @ HOU","1B","4.33","1.13",".69",".29",".01",".14",".54",".68",".02",".02",".29",".59","6.82","10.68","8.12","19198"
"Matt Carpenter","Cardinals","STL @ PIT","3B","4.93",".92",".56",".23",".02",".11",".67",".38",".02",".02",".87",".98","6.95","10.76","8.02","8090"
"Cody Bellinger","Dodgers","LAD @ SF","1B","4.51",".97",".59",".19",".03",".16",".54",".61",".05",".03",".49","1.12","6.86","10.70","8.07","15998"
"Andrew Benintendi","Red Sox","TB @ BOS","LF","4.56","1.01",".68",".22",".03",".09",".62",".48",".10",".06",".59",".96","6.87","10.66","8.09","17901"
"Jose Ramirez","Indians","SEA @ CLE","3B","4.30","1.07",".63",".28",".03",".13",".52",".53",".09",".05",".37",".48","6.78","10.54","8.10","13510"
"Logan Morrison","Twins","CIN @ MIN","DH","4.10",".86",".48",".16",".01",".20",".56",".56",".02",".01",".63",".85","6.86","10.68","7.94","9205"
"Marcus Semien","Athletics","OAK @ HOU","SS","4.75","1.07",".66",".23",".02",".16",".56",".49",".07",".04",".38","1.08","6.78","10.52","8.09","12533"
"Paul DeJong","Cardinals","STL @ PIT","SS","4.28","1.03",".59",".22",".01",".20",".51",".66",".02",".01",".31","1.15","6.77","10.59","8.03","18015"
